path_index,interaction_chain,a_real,a_imag,a_abs,phase_deg,path_gain_db,delay_us,path_length_m,excess_delay_us,aod_theta_deg,aod_phi_deg,aoa_theta_deg,aoa_phi_deg,doppler_hz
73,PHAN_XA_KHUECH_TAN,5.921421006860328e-07,0.0,5.921421006860328e-07,0.0,-124.55148119870714,0.3747121581909596,112.33587894655261,0.04114806984034658,98.62446870907493,-81.77879749866813,91.15504896482986,-172.42323518152617,0.0
74,PHAN_XA_KHUECH_TAN,5.140263397152012e-07,0.0,5.140263397152012e-07,0.0,-125.78029252671399,0.4025464193091466,120.68038050378772,0.06898233095853357,98.71720218743619,-121.90304430623152,91.06343563749247,-174.08562126323724,0.0
75,PHAN_XA_GUONG -> NHIEU_XA,1.216827513417229e-06,-2.751575038928422e-06,3.008626662160512e-06,-66.14357439402988,-110.43263400274557,0.5147525712345669,154.3189385922309,0.18118848288395384,89.99998884409983,-144.9356306404301,89.999995674289,-162.39347121557762,0.0
76,PHAN_XA_KHUECH_TAN,5.642907581204781e-07,0.0,5.642907581204781e-07,0.0,-124.96994124978778,0.3659060325844621,109.69586890552398,0.03234194423384906,99.01876186948142,-72.30677995015365,91.17971277792277,-172.8847100826089,0.0
77,PHAN_XA_GUONG -> PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN,1.1297288438072428e-06,5.653992047882639e-07,1.2633144981774137e-06,26.586744878351176,-117.9697703947457,0.6983381126701715,209.35649931247167,0.3647740243195585,99.1638350874525,89.99913507045358,83.25275915174605,-161.73920739498212,0.0
78,PHAN_XA_KHUECH_TAN,6.7876426328439265e-06,0.0,6.7876426328439265e-06,0.0,-103.36562062428672,0.49169784688274376,147.4073061102854,0.15813375853213074,75.84403929865488,-133.64960364081944,86.80447801072019,-170.78281498818586,0.0
79,KHUC_XA_TRUYEN_XUYEN -> NHIEU_XA,1.7955042039830005e-06,2.318901579201338e-06,2.932770001303049e-06,52.249710153683615,-110.65443989334898,0.4241250906034111,127.14950341146931,0.09056100225279806,90.00000933466734,17.56333455442567,90.0000161648565,104.54069660586993,0.0
80,KHUC_XA_TRUYEN_XUYEN -> PHAN_XA_KHUECH_TAN -> KHUC_XA_TRUYEN_XUYEN,-6.98868007020792e-07,-1.8549808373791166e-06,1.982263957771755e-06,-110.6440080157947,-114.05677030911397,0.5083938958705403,152.41265567522532,0.17482980751992727,75.90312726516466,-68.72728271182507,81.76823802621129,-147.5297228268226,0.0
81,PHAN_XA_KHUECH_TAN -> PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN,-2.853784053513664e-06,-1.6762021459726384e-07,2.8587024959639486e-06,-176.63853004327603,-110.87662078290032,0.4944682814311818,148.23786149328976,0.1609041930805688,144.09501193851995,-73.02151826566048,76.11147535560673,-160.8695603890994,0.0
82,PHAN_XA_KHUECH_TAN,2.203028543590335e-06,0.0,2.203028543590335e-06,0.0,-113.13959751732537,0.5143891712577897,154.20999401995573,0.1808250829071767,47.94964576606577,-90.63687666344684,74.26458537384612,-161.80182656929279,0.0
